host_response_time,room_type,host_response_rate,host_acceptance_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_len,neighborhood_overview_len,host_verifications_len,has_wifi,has_pool,has_kitchen,has_washer,has_dryer,has_ac,has_self_checkin,has_workspace,has_pet_allowed,has_free_parking,desc_1,desc_2,desc_3,desc_4,desc_5,n_1,n_2,n_3,target
1.0,1,100.0,100.0,1.0,1.0,1.0,4,1,1,2,3,1125,117,24,2,2,2,3,3,2,3,1,1,1,0,0,1.03,30,279.0,6,1,1,1,1,1,1,0,0,0,1,0.42536695439320443,0.07950804090047711,-0.008896009299988761,0.27988035424636537,0.02714867863375767,0.1528017695966899,0.037847229615122324,-0.03468778032375051,1
5.0,1,0.0,0.0,1.0,1.0,1.0,4,2,2,3,360,365,1,0,4,4,4,4,4,1,1,0,1,1,0,0,0.01,17,43.0,5,1,1,1,1,1,1,0,0,0,1,0.23187139414785216,0.0226376494780248,0.006290311278822697,0.06297432687014451,-0.042103823128521206,0.01322790576678426,-0.02160263283468758,-0.018172271970473393,1
5.0,1,0.0,0.0,1.0,1.0,1.0,3,5,2,6,210,1125,0,0,5,5,5,5,5,5,5,0,1,1,0,0,0.0,32,0.0,4,0,0,0,0,0,0,0,0,0,1,0.225795076802366,-0.07695416072208103,-0.014481511543614869,-0.011982924349131528,0.04429784301640295,0.0,0.0,0.0,2
2.0,1,76.0,26.0,13.0,1.0,1.0,7,2,2,5,13,1125,27,2,1,2,1,1,1,1,1,0,6,6,0,0,0.23,35,0.0,8,1,1,1,1,1,1,0,0,0,1,0.45579544620117907,-0.10287733398926338,-0.07282680093073103,0.1865783015729685,-0.01577482576394693,0.0,0.0,0.0,2
3.0,2,100.0,100.0,2.0,1.0,0.0,1,1,1,1,180,305,45,3,4,3,3,4,4,4,4,0,2,0,2,0,0.4,35,862.0,5,1,0,1,1,1,1,0,0,0,1,0.18380395594059565,0.07342120461931259,0.0253040994055733,0.10282990465227365,-0.05127772077336738,0.23353194068849964,-0.08095155382122143,-0.0521930536074595,1
2.0,2,100.0,95.0,4.0,1.0,1.0,2,1,1,1,10,21,46,8,4,4,3,4,4,3,4,0,3,0,3,0,0.43,29,43.0,8,1,0,1,1,1,1,0,0,0,1,0.23174671888472514,0.028988711698230887,0.013995849775519048,0.0013099244480641523,-0.11228925176410907,0.06263698524899389,-0.0963410135805192,-0.053036803960970096,1
1.0,1,100.0,99.0,54.0,1.0,1.0,8,2,2,4,2,30,22,0,2,2,2,1,2,1,2,1,9,9,0,0,0.2,48,261.0,10,1,1,1,1,1,1,0,0,0,1,0.36671858550285796,0.08413571244857333,0.02887031537061912,0.12309150149754927,0.06424013773184832,0.12036056780475875,-0.16574400986488713,-0.01151223921378736,0
3.0,2,100.0,100.0,3.0,1.0,0.0,1,1,1,1,2,250,26,2,1,1,1,1,2,1,1,0,1,0,1,0,0.27,15,137.0,4,1,0,1,1,1,1,0,0,0,1,0.20064340446114162,-0.01665629146981979,0.022988862205795116,0.0658490741572364,-0.047109796081086515,0.04894191219379833,-0.06540808620345404,0.011439140284393563,0
1.0,1,100.0,99.0,54.0,1.0,1.0,6,1,1,3,2,30,20,0,1,1,2,1,1,1,1,1,9,9,0,0,0.18,47,255.0,10,1,1,1,1,1,1,0,0,0,1,0.2826683599606568,0.1091753426294383,0.07344096062701913,0.03247138123766865,0.06866206714060269,0.12026625630124958,-0.16400421922780933,-0.013119056022114588,0
5.0,2,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,120,234,0,2,2,3,2,2,1,2,0,1,0,1,0,2.14,50,1000.0,9,1,0,1,1,1,1,0,0,0,1,0.2914061222770755,0.0688816159791309,-0.032609260657970755,0.15830150059015977,-0.05100874980616783,0.2523080880504923,-0.0012110854932981243,-0.04607098992687691,1
